n;Grade School;Divide and Conquer;Karatsuba
907;57.446;2661.47;2102.98
908;56.242;2684.48;2044.86
909;60.334;2842.34;2087.74
910;66.538;2717.87;2068.38
911;55.914;2782.79;2116.5
912;56.181;2763.4;2048.07
913;66.781;2833.47;1996.23
914;57.715;2586.98;2034.96
915;57.706;2647.52;2107.94
916;61.923;2764.26;2092.73
917;57.31;2689.57;2079.91
918;65.516;2614.33;1969.64
919;56.792;2574.4;2016.83
920;59.493;2809.23;2150.89
921;58.819;2754.31;2016.13
922;62.9;2817.66;2081.08
923;58.601;2643.84;1949.77
924;65.11;2804.77;2148.51
925;57.826;2799.52;2140.4
926;60.302;2811.06;2132.95
927;62.503;2766.36;2149.22
928;61.59;2593.49;1963.78
929;58.415;2586.83;2049.39
930;58.856;2811.37;2033.24
